age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
37,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,tue,322,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
53,services,married,university.degree,no,no,no,cellular,may,fri,136,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
34,admin.,single,university.degree,no,no,yes,cellular,may,mon,14,5,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
42,technician,divorced,high.school,unknown,yes,no,cellular,aug,thu,140,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,admin.,divorced,basic.6y,no,no,no,cellular,jul,wed,144,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
39,unemployed,married,basic.9y,no,yes,no,cellular,nov,mon,63,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
33,admin.,single,university.degree,no,yes,no,cellular,aug,wed,134,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
37,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,124,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
31,technician,married,university.degree,no,no,no,cellular,sep,thu,261,1,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,no
37,services,married,high.school,no,no,no,cellular,may,tue,378,3,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
56,unemployed,divorced,basic.4y,no,no,no,cellular,mar,wed,577,1,999,0,nonexistent,-1.8,93.369,-34.8,0.634,5008.7,yes
54,services,married,basic.6y,no,yes,no,cellular,jul,thu,86,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
45,technician,single,professional.course,no,yes,no,telephone,jun,wed,83,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
28,services,married,high.school,no,yes,yes,cellular,jul,wed,177,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
36,technician,single,high.school,no,yes,no,cellular,may,thu,208,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
28,entrepreneur,single,professional.course,no,yes,no,cellular,may,mon,240,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
35,technician,single,professional.course,no,no,yes,cellular,jul,thu,346,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,student,single,unknown,no,no,no,cellular,mar,thu,101,1,14,1,success,-1.8,93.369,-34.8,0.635,5008.7,yes
36,services,single,high.school,unknown,no,yes,cellular,apr,mon,76,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
28,technician,divorced,professional.course,no,no,no,cellular,may,tue,240,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
41,blue-collar,married,basic.4y,no,yes,no,cellular,jul,fri,138,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
44,admin.,divorced,high.school,no,yes,no,cellular,jul,wed,269,17,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
36,services,married,high.school,no,no,no,cellular,may,thu,227,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
46,services,married,high.school,no,yes,yes,cellular,jul,wed,149,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
25,admin.,single,university.degree,no,yes,yes,telephone,oct,thu,227,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
44,housemaid,married,basic.4y,no,yes,no,cellular,aug,thu,164,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,mon,143,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
41,unemployed,married,university.degree,unknown,no,no,telephone,may,mon,729,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55,admin.,divorced,unknown,no,no,no,cellular,apr,fri,386,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
59,technician,married,unknown,no,no,no,telephone,may,fri,464,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
43,management,married,university.degree,no,yes,no,cellular,jul,tue,347,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
36,admin.,married,university.degree,no,yes,no,telephone,jun,mon,80,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
29,blue-collar,single,basic.9y,no,yes,no,cellular,may,tue,396,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
56,blue-collar,married,unknown,unknown,yes,yes,cellular,jul,mon,210,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
